"b'""One of the most powerful things about digital currencies is the chance to be part of an economic system which isn '",
"b'""I think issuing traditional currencies on crypto-rails is going to be a big part of the financial space."" - @adamludwin #YahooAMS'",
b'Breaking down the market: @adamludwin and @OneMorePeter at #YahooAMS ',
"b'""In 1998, it was hard to invest in internet stock. Digital currency is the direct opposite."" - @OneMorePeter at #YahooAMS'",
"b'""I think where companies that operate in the enterprise get stuck is when they depend on financial institutions to '",
"b'""It s not about what s better, it s what problem are you trying to solve, what goal do you want to accomplish."" - '",
b'Decentralized Marketplace OpenBazaar Now Accepts Bitcoin Cash  ',
"b'""I\'m here to build a better financial system, not to compete with other companies. I m very competitive as a human '",
"b""Up next at #YahooAWS: Chain's @adamludwin and Blockchain's @OneMorePeter""",
"b'""At some point within the next 12-24 months, you re going to see a tidal wave of capital wash ashore into this asse '",
"b""RT @DelRayMan: BREAKING: Barry Silbert's Grayscale embraces ethereum with fund of top five most valuable cryptocurrency market caps: https:""",
"b'""It comes down to the fact that most of these tokens don t have real utility, and I think there s only going to be '",
"b'""At some point, I want to take [Digital Currency Group] public."" - @barrysilbert at #YahooAWS'",
b'Now on-stage at #YahooAWS: @DCGco CEO and founder @barrysilbert',
b'Grayscale Launches Fund for Top Crypto Assets (ETH Included)  ',
"b'.@blockstack\'s Ryan Shea: ""Also watch out for faux decentralization, and faux blockchain, because we re going to se '",
b'@blockstack',
"b""Indiegogo says it's gearing up to support additional token sales after last year's launch. #YahooAMS""",
"b'.@Indiegogo\'s Jason White ""Ultimately, I think it comes down to having a meaningful, authoritative conversation with regulators."" #YahooAMS'",
"b'Andy Bromberg from @coinlist\'s view on the CFTC/SEC hearing before the Senate yesterday: ""We heard really thoughtfu '",
"b'""I think you have to say, if you believe in blockchain, you have to believe in bitcoin and ethereum and all the pub '",
"b'Blockchain Project Raises $61 Million from A16Z, Polychain Capital  '",
"b'""We don t think crypto is like the internet, we think it\'s more like emerging markets."" @fundstrat breaking down '",
"b'""It\'s a Millennial story, I think."" - @fundstrat'",
"b'Adam White on regulations: ""I think we embrace regulation at Coinbase. We recognize that regulations are a compleme '",
"b'""Crypto is beyond a 10-year story, this is going to last 30 years."" - @fundstrat on the crypto market at @YahooFinance event'",
"b""GDAX's Adam White says at @YahooFinance event that Coinbase has 10 million customers""",
"b""Up next at @YahooFinance's All Markets Summit: Crypto GDAX's Adam White and Fundstrat's Tom Lee""",
b'On topic: @readDanwrite and @writenolan talk CryptoKitties the beginning of sports memorabilia on the blockchain?',
"b'""Once again, I would say we are dealing with an extremely powerful technology, dealing with \'t co '",
"b'RT @YahooFinance: LIVE: @writenolan on Ripple: ""I think a lot of doubts come from the idea that the coin and the company are two different'",
b'BREAKING: CoinDesk Releases 2018 Bitcoin and Blockchain Industry Report  ',
"b'Bauerle on investing in digital assets: ""At the end of the day people have to learn you have to come to cryptocur '",
"b""CoinDesk's Nolan Bauerle takes the stage at the @YahooFinance All Markets Summit on cryptocurrency """,
b'Bitcoin is struggling to hold above key resistance (data via Coinbase) ',
b'RT @cryptograffiti: Currency Exchange Repurposed fiat currency and acrylic on wood 61 cm x 61 cm (24 in x 24 in) Exhibiting at #satoshi',
b'RT @DelRayMan: CoinDesk is partnering with Yahoo Finance for this crypto event in Manhattan. Looking forward to an impressive line up! Via',
b'BREAKING: Ripple Blockchain Network Adds China Payments Provider  ',
b'Most cryptos are still down at least 30 percent on weekly basis  ',
"b'Bitcoin cash defends key support, moves above $1,000  '",
b'#Bitcoin price forming higher highs and higher lows on 4-hour chart  (Data via Coinbase) ',
b'Token Trader Templum Just Bought a Broker-Dealer  ',
"b'RT @ZoeJDolan: ""Attorney Zoe Dolan struck an optimistic tone in the wake of the hearing as well, taking to Twitter to write that \'this hear'",
b'Floor Found? Strong Volumes Push Bitcoin Above $8K  ',
"b""ECB President: EU Banks Show 'Limited Appetite' for Cryptocurrencies  """,
"b""Singapore Deputy PM: 'No Strong Case to Ban Cryptocurrency Trading'  """,
b'Bitcoin Jumps Over 20 Percent as Crypto Markets Regain Poise  ',
"b""Ethereum Users Are Losing Money and Devs Don't Quite Know What to Do  """,
"b'The Telegraph A Digital Currency Is Coming, But It s Not Bitcoin  by'",
b'IBM-Maersk Blockchain Project Adds Logistics Provider Agility  ',
b'The Downside of Tracking Bitcoin on the Blockchain  ',
"b'RT @AugurProject: ""When #Augur first goes live, it\'s going to invite everyone to break the protocol. But don\'t worry, it\'s all part of the'",
"b'Canadian Official Wants Google to Ban Ads for Crypto, ICOs  '",
b'RT @nic__carter: How do you feel about your Bitcoin holdings?',
"b'#Consensus, often imitated '",
b'Bullish Outcome? Crypto Reacts to US Senate Hearing Remarks  ',
b'Quartz Blockchain Expert Amber Baldet is Disrupting Wall Street from the Inside Out  by @LeahFessler',
"b""$8K Again? Bitcoin Is Already Up $2K from Today's Low  """,
"b""There'd Be No DLT Without Bitcoin, Says CFTC Chief  """,
"b""CFTC's Giancarlo: 'We Are Used To' Volatile Assets Like Bitcoin  """,
"b""SEC Chief Clayton: 'Every ICO I've Seen Is a Security'  """,
"b""Economist Roubini: 'Crypto Crazies' Are 'Cyber Terrorists'  """,
"b'UPDATE: Clayton on regulation: ""I want to go back to separating ICOs and cryptocurrencies. ICOs that are securities '",
"b'This tweet has been deleted due to a transcription inaccuracy, correct tweet to come. (h/t @jerrybrito )'",
"b""Venezuela's Cryptocurrency Plans Draw Ire at US Senate Hearing  """,
b'The Senate committee has adjourned its hearing with the CFTC and SEC chairs. Read more: ',
b'Warren on unregistered ICO use: I understand you to say it is a violation of the law. Clayton Yes.',
b'Clayton says Not one when asked about registrations for past or future ICOs',
b'New Regulation for Crypto? US Senate Rekindles Debate  ',
b'Giancarlo on agency oversight of crypto spot markets: This is a gap.',
"b'Giancarlo notes recent complaints filed against companies trying to defraud investors through ICOs: ""We believe tha '",
"b'Clayton on whether he is concerned companies may be using blockchain to pump stock prices: ""The short answer is yes.""'",
"b'Clayton: Different rules govern ETF products than would govern a traditional futures product: ""If we get comfortabl '",
"b'Clayton on SEC\'s warning about celebrity ICO endorsements: ""I believe that has tamped down some of that endorsement activity.""'",
"b'Giancarlo on regulating Venezuelan petro: ""Our jurisdiction would be very limited in that area. If we thought that '",
"b'Clayton: ""I don\'t really know what\'s driving volatility in bitcoin and cryptocurrencies  it must be something di '",
"b'Giancarlo on blockchain tech: ""I\'m no pie-in-the-sky dreamer, but the applications range from enormous potential in '",
"b'Clayton: ""Just look anywhere in our economy where verification and record-keeping has costs that can be reduced  '",
"b'Giancarlo defends CFTC greenlight of BTC futures: With bitcoin futures, we re now having visibility into underlyin '",
"b'Sen. Kennedy: ""How far do you think we ought to go in terms of cryptocurrency [law]?"" Clayton: ""I think we should '",
b'Donnelly: How can agencies assist law enforcement prevent terrorists or rogue nations from using cryptocurrencies? ',
"b'Giancarlo on warning investors: ""If it sounds too good to be true, it is.""'",
b'Sen. Donnelly shares concerns that retail investors will remain exposed to possibility of online fraud. Giancarlo: ',
"b'Giancarlo: ""We are in communication with other regulators, and I think the message is that [bitcoin] is not off the grid.""'",
"b'Giancarlo: ""When it comes to enforcement  we\'re using our full authority.""'",
"b'Clayton: ""There\'s a lot happening [in the market] the understanding of your average investor.""'",
b'BIS Chief Slams Bitcoin As Ponzi Scheme and Threat to Central Banks  ',
b'Giancarlo gives shout out to crypto-Twitter and bitcoin HODLers during Q&amp;A',
b'Giancarlo: What s so challenging about bitcoin is that it has characteristics of multiple things.',
"b'Sen. Rounds raises questions: ""How do you tax it, if you need to? How do you recognize income?""'",
"b'Giancarlo on risks: In terms of systemic risk, this is still a relatively small  as you said, we have to watch it.'",
"b'Clayton on whether SEC understands crypto: ""We formed a working group  they\'ve done an exceptional job getting u '",
b'RT @jerrybrito: Chairman Clayton seems focused on the fact many have touted cryptocurrencies for payments and that hasn t yet caught on. Tr',
b'Clayton sees further regulations and enforcement actions as protecting Main Street investors.',
"b'Clayton: ""There are a lot of smart people who think there is some value to cryptocurrencies and international excha '",
"b'Clayton, when asked about new legislation: We may be back with our friends from Treasury and the Fed to ask for additional legislation.'",
"b'Senator Crapo: ""Should Congress address revising and refining our financial law so that one agency or a group of ag '",
b'CFTC chair Giancarlo takes over testifying with a story about his children asking if they should buy bitcoin',
b'RT @NeerajKA: I believe every ICO I ve seen is a security - Jay Clayton',
"b'Clayton: ""A note for professionals in these markets: those that engage in semantic  squarely withi '",
"b'SEC chair Clayton: ""You can call it a coin, but if it functions like a security, it s a security.""'",
"b'SEC chair Jay Clayton begins his testimony with a summary of the cryptosphere today, noting $4 billion raised by IC '",
"b""Warren Buffet's Railroad Firm Joins Blockchain Alliance  """,
"b""Happening now: It's a packed room as CFTC and SEC chiefs prepare to testify before the  Senate Banking committee """,
"b""WATCH: The Senate Banking Committee's hearing on cryptocurrency regulation at 10am EST  """,
b'RT @SpirosMargaris: #ICO #Tokens Are Already Changing Traditional #Startups  #fintech #DigitalCurrency @BradyDa',
b'RT @readDanwrite: TOMORROW: Our @YahooFinance live summit on cryptocurrencies. Speakers from @DCGco @Ripple @blockchain @chain @CFTC @coind',
b'Taiwan Official: Government Should Prepare for Crypto Collapse  ',
"b'The price of bitcoin is back above $7,000  '",
"b""Bitcoin's Price Has Nearly Unwound Its Futures Boost  """,
b'Opinion Sanctions Showdown Looms for US and Cryptocurrency  ',
b'ICOs Are Already Changing Tech Startups You Know  ',
b'Soundtrack ',
b'$Crypto attitudes are shifting ',
b'Singapore Lawmakers Question Prime Minister Over Crypto Regulation  ',
b'Cryptocurrency Market Drops to Lowest Value Since November  ',
"b""CFTC to Take 'Do No Harm' Approach on Crypto Regulation  """,
b'ICO Tokens Are Already Changing Traditional Startups  ',
b'Coinbase Confirms 4 Banks Blocking Bitcoin Purchases on Credit Cards  ',
b'Bitcoin Slumps to 12-Week Low Below $6K  ',
b'Ex-PayPal President: Facebook Messenger Unlikely to Support Crypto  ',
"b""Business Insider Bitcoin is Down 45% This Year But That's Not What's Worrying Exchanges  by @fintechfrank""",
b'Augur Ahead? One of the Oldest ICOs Is Close to Going Live  ',
b'Korean Exchange Halts Crypto Trading Over KYC Concerns  ',
b'The total value of all cryptocurrencies is now below $300 billion for the first time since 2017: ',
b'Vice Facebook Is Investigating Bitcoin Ads Bypassing Its New Ban  @josephfcox',
"b""Startup Raises $20 Million to Build 'YouTube on the Blockchain'  """,
"b'RT @NeerajKA: For sale: diamond encrusted gold Bitcoin B necklace, lightly worn.'",
"b'RT @farzamehsani: #Cryptoassets are helping humans realize just how superficial nation-state borders  ""The earth is but one country,'",
b'Washington Post What s Driving People in Kentucky to Join the Crypto Craze ',
b'RT @NeerajKA: Brito said that Coin Center has met individually with staff of more than half a dozen committee members and participated in',
b'An orderly exit ',
b'A (long-term) optimist view on the crypto market correction ',
"b""RT @coincenter: We were recently on the CFTC's podcast. """,
b'History rhymes again ',
"b'What to Expect When CFTC, SEC Chiefs Talk Crypto With Congress  '",
"b'What to Expect When CFTC, SEC Chiefs Talk Crypto With Congress  '",
b'South Korea: North Korea Stole Millions From Crypto Exchanges Last Year  ',
"b""RT @msantoriESQ: I am thrilled to announce that I am joining @blockchain as the company's President and Chief Legal Officer! I couldn't be""",
"b""Bitcoin's Price Dips Below $7K As Crypto Selloff Continues  """,
"b'RT @goonth: ""Regulators all around the world are responding primarily to headlines. There\'s been a failure on the part of the industry and'",
"b'RT @CarrascosaCris_: I didn\'t get into this to do ICOs,"" @msantoriESQ told CoinDesk. ""It\'s a fascinating area of the law, but that\'s not t'",
"b'RT @dock_io: ""From the latter I\'ve become familiar with the concept of data portability: the notion that consumers should be able to easily'",
"b""Breaking: The 'Dean of Blockchain Lawyers' Just Got a New Job  """,
b'US Commodities Regulator Warns on Crypto Retirement Scams  ',
b'Italian Crypto Businesses to Register Under Proposed New Rules  ',
"b'RT @SpirosMargaris: The #DecentralizedWeb Just Might Need Databases, Too  #fintech #blockchain @BradyDale @coinde'",
b'RT @SpirosMargaris: #Enterprise #Blockchain May Finally Be Ready for Its Breakout  #fintech @DelRayMan @coindesk',
"b'RT @DelRayMan: It turns out, the blockchain revolution is taking longer than expected. But as a number of upcoming milestones indicate, the'",
b'Texas Hits Another Crypto Lending Platform with Cease-and-Desist  ',
b'7 Tough Legal Lessons for Crypto Entrepreneurs  ',
b'The Crypto Market Is Down Over 50% from All-Time Highs  ',
"b""A snapshot of today's crypto market turmoil (data from CoinMarketCap) """,
"b'Report: China Cutting Access to Overseas Bitcoin Exchanges, ICO Websites  '",
b'Singapore Airlines to Launch Blockchain-Based Loyalty Wallet  ',
"b'#BTCUSD #Bitcoin price again drops below 200-day moving average ($7,946) (Data via Coinbase) '",
b'Lloyds Banking Group Blocks Bitcoin Purchases Using Credit Cards  ',
b'UAE Financial Watchdog Warns Investors Over ICO Risks  ',
b'Enterprise Blockchain May Finally Be Ready for Its Breakout  ',
b'Bitcoin Drops Below $8K as Crypto Market Recovery Falters  ',
b'New York Lawmaker Proposes Study of State-Backed Cryptocurrency  ',
b'Blockstream Devs Depart to Design a Different World Computer  ',
b'The Next CryptoKitties? Baidu Unveils Blockchain Pet Project  ',
b'RT @EmokeZ: #HappyBirthday Ralph Merkle! The Inventor of the Merkle Tree -blockchains- Wants DAOs to Rule the World by @DelRayMan via @Coin',
b'Changing Tide? Crypto Is Spreading Up the Dublin Coast  ',
"b'The Decentralized Web Just Might Need Databases, Too  '",
"b""Ripple's XRP Worst Hit By January Market Decline  """,
b'Crypto Rich and Paranoid: Threats Prompt Radical Security in Bitcoin Land  ',
b'Reuters Insurers Gingerly Test Bitcoin Business with Heist Policies  by @SuzanneBarlyn',
b'Goldman Sachs Inadvertently Bought a Stake in a Bitcoin Trading Desk  by @johndetrixhe',
"b""RT @BLR13: ICYMI: Investing in the Next 'It' #Blockchain Isn't So Easy  From an investors panel @blockchain_con in S""",
"b'RT @adamludwin: Bitcoin is a store of value over very long time spans (years), as well as very short ones (minutes). In between your mileag'",
"b'RT @TheStalwart: Is crypto at a bottom? I literally have no idea, but fwiw Dentacoin still has a market cap of $400 million. '",
b'RT @jdrive: Santander to Roll Out Ripple-Powered App in 4 Countries  via @CoinDesk',
b'NY Times Making a Crypto Utopia in Puerto Rico  by @NellieBowles',
"b'Report: Bank of America, JP Morgan Ban Credit Crypto Purchases  '",
"b""Canadian Regulators Approve Country's First Blockchain ETF  """,
b'RT @ChamberDigital: Looking forward @YahooFinance All Markets Summit: #Crypto summit next week - w/ @PerianneDC @rickjnewman &amp; Grant Fondo',
b'Santander to Roll Out Ripple-Powered App in 4 Countries  ',
"b'RT @SpirosMargaris: #Tezos Has a New #Board, But What Does It Mean for the Money?  #fintech #blockchain #Ethereu'",
b'Botnet Infects Half a Million Servers to Mine Thousands of Monero  ',
b'Former Iced Tea Maker Cancels Purchase of Bitcoin Mining Rigs  ',
"b""The price of bitcoin has reached $9,000 again after hitting a low of $7,695 on the day's trading. (Data via """,
b'Copycat Twitter Accounts Seek to Scam Crypto Users  ',
b'Chinese Retail Giant  Joins Blockchain in Transport Alliance  ',
b'WSJ A Vermont City Tests Blockchain Technology for Property Deals  by @PeterGrantwsj',
b'Red Tide: Double-Digit Losses Sweep Crypto Asset Market  ',
b'The price of bitcoin cash (BCH) just slipped below $1K for the first time since Nov. 2017 (Chart via @CoinDesk) ',
"b'Bitcoin is testing its 200-day moving average ($7,855) for the the first time since 2017 (Data via @GDAX) '",
b'Ethereum s ether cryptocurrency is trading at its lowest price level of 2018 (via @CoinMarketCap) ',
b'Texas Takes Aim at Overseas ICO with Cease-and-Desist  ',
b'The total market cap of all crypto assets is below $400 billion and nearing a 2-month low:  ',
"b'BTC dips below $8k, its lowest price since mid-November:  '",
b'Philippines to Investigate Crypto Firm over Claimed Link with Politician  ',
"b""Japan's FSA Probes Coincheck's Ability to Issue Hack Compensation  """,
"b""January's Top Large Cap Crypto? It Wasn't Bitcoin or   """,
b'EU Launches Blockchain Observatory in Partnership with ConsenSys  ',
b'FT Nobody Puts Bitcoin in the Corner  by @kadhimshubber',
"b'Tezos Has a New Board, But What Does It Mean for the Money?  '",
b'Here today ',
b'RT @masonic_tweets: Trading desks are the new crypto hedge fund - @danielcawrey',
"b'The price of ETH is back below $1,000:  '",
b'CFTC Beefs Up Bitcoin Futures Review Process  ',
"b""RT @Jason: ICYMI: I Don't Hate Cryptocurrency,   via @CoinDesk""",
b'Bee Token ICO Stung by $1 Million Phishing Scam  ',
b'UPS Might Be Making a Locker That Accepts Bitcoin  ',
b'Crypto Cleanup Crew? New Law Practice Focuses on Resolving Messes  ',
"b""SPECTRE Creators Propose 'PHANTOM' Blockchain Protocol  """,
b'2-Month Low: Bitcoin Price Drops Below $9K  ',
"b""India's Finance Minister Strikes Stern Tone on Cryptos in Budget Speech  """,
"b""Samsung Confirms It's Now Making Cryptocurrency Mining Chips  """,
"b""Back at $1: Ripple's XRP Retreats Amid Market Sell-off  """,
b'Illinois Eyes Blockchain for IDs and Public Asset Management  ',
b'The price of Ripple s XRP cryptocurrency is back below $1:  ',
b'RT @stephendpalley: This may be the first crypto-litigation involving a public company. One of the important (but overlooked) questions in',
b'When Crypto Exchanges Hold More Than Your Money  ',
b'Bitcoin Sinks Below $10k After $133 Billion January Loss  ',
b'Cloud Network Xunlei Hit By Class Actions Over ICO Activity  ',
"b""China's Cheetah Mobile Launches Cryptocurrency Wallet  """,
b'BREAKING: Alt-Right ICO? Social Network Gab to Sell $10 Million in Tokens  ',
b'This Startup Lost $160 Million But Still Wants to Shake Up Ethereum  ',
b'Fireside for #Consensus2018? ',
b'RT @mikejcasey: This thread is such a thoughtful response to my column. It highlights what may well become a crisis in the economics profes',
b'RT @dranejeremy: The Periodic Table of Blockchain  via @CoinDesk . GREAT',
"b'RT @matt_oppy: ""Square Adds Bitcoin Buying for More Cash App Users""  @Square'",
b'RT @provoost: A Blockchain is a chain of blocks - @peterktodd ',
b'RT @askadella: Everything about this article 1000x YES! Another perfect article by @mikejcasey  via @CoinDesk https',
b'FedEx Moves Forward With Blockchain Logistics Plans  ',
"b""RT @matthewde_silva: A strong rejoinder to Krugman's NYT piece from @mikejcasey """,
"b""RT @SpirosMargaris: Good read #Davos Elites Still Don't Get #Blockchain  #fintech #DigitalCurrency @DelRayMan @co""",
b'RT @CapgeminiConsul: Bank of Tokyo is Planning to Use #Blockchain for Contract Management  via @coindesk',
b'NEM Foundation: Stolen Coincheck Funds Not Sent to Exchanges  ',
"b'SEC, CFTC Chiefs Set for Senate Crypto Hearing Next Week  '",
"b""KodakCoin Token Sale Delayed By 'Several Weeks'  """,
b'Square Adds Bitcoin Buying for More Cash App Users  ',
b'Bitcoin Tax Payments Bill Advances in Arizona  ',
"b""Italy's Economy Minister Blasts Behavior in Crypto Markets  """,
"b""Venezuela's President Announces 'Petro' Token Pre-Sale  """,
"b'RT @DelRayMan: ""Let\'s forego the ad hominem. I think it\'s more constructive to think about the ingrained mindset of otherwise intelligent m'",
b'RT @rumimorales: Everything about this article 1000x YES! Another perfect article by @mikejcasey  via @CoinDesk',
b'US Court Freezes BitConnect Assets as Lawsuits Mount  ',
b'Crypto Exchange Bittrex Outlines Token Listing Criteria  ',
b'State Retirement Funds in Tennessee Could Face Bitcoin Restriction  ',
"b""Davos Elites Still Don't Get Blockchain  """,
b'Bitcoin Back Above $10K But Gains Could Be Short-Lived  ',
b'Japanese App Provider Line Corp to Launch Cryptocurrency Services  ',
"b'Samsung Is Now Building Bitcoin Mining Chips, Report Says  '",
"b""South Korea Doesn't Intend to Ban Crypto Trading, Says Finance Minister  """,
"b'The New ""It"" Blockchain Projects Investors Want to Fund  '",
b'South Korea: Cryptos Mixed up in $600 Million Illegal Forex Trade  ',
b'Hawaiian Bills Would Capture Crypto Under Money Transmission Law  ',
"b""I Don't Hate Cryptocurrency,   """,
b'RT @KateBaucherel: UN Forms #Blockchain Coalition to Fight Climate Change  via @CoinDesk',
b'Bitcoin Exchange Huobi to Open US Office  ',
b'NY Times Kodak s Dubious Cryptocurrency Gamble  by @kevinroose',
"b""RT @MarcHochstein: Tonight at 6:30  eastern I'll be talking bitcoin, blockchain, crypto &amp; all that at @japansociety in NYC with @bitfly""",
"b""Bitcoin's price is back above $10,000, according to the BPI  """,
"b'Facebook Is Banning Advertisements for Bitcoin, ICOs  '",
"b'Report: CFTC Sends Subpoenas to Bitfinex, Tether  '",
"b'UPDATE: The price of bitcoin has fallen below $10,000. '",
"b""Bitcoin's Price Nears $10K Amid Wider Crypto Drop  """,
b'BitConnect Hit With Second Lawsuit Over Ponzi Allegations  ',
b'RT @DelRayMan: Hyperledger Sawtooth blockchain code originally contributed by Intel has emerged as a stable platform for enterprise use: ht',
b'RT @SpirosMargaris: #Bitfury Enters #Bitcoin Crime-Fighting Business with #CrystalLaunch  #fintech #DigitalCurre',
"b""RT @BKBrianKelly: Intel's Hyperledger Blockchain Is Now Ready for Business  via @CoinDesk""",
b'NEM Faces Bear Market as 3-Day Slide Continues  ',
b'RT @DelRayMan: Remember when the @BitfuryGroup was a bitcoin mining operation? Check out this expansion into the world of fighting crime: h',
b'Another Blockchain ETF Has Launched  ',
b'SEC Files Fraud Suit Against Crypto Bank ICO  ',
"b""'Bitcoin Could Alter the World', Says Former  Senator Judd Gregg  """,
"b""BREAKING: Intel's Hyperledger Blockchain Is Now Ready for Business  """,
b'RT @IBMBlockchain: The #UN has been investigating how to create transparent and efficient systems using #blockchain ',
b'$10K Exposed? Bitcoin Bulls Fail to Defend Price Floor  ',
"b'RT @Jason: 1/The existential problem for crypto right now, is that the number of scams being run will outnumber serious projects by at leas'",
b'Hong Kong Seeks to Educate the Public on Cryptocurrency and ICOs  ',
b'German Regulator Orders Crypto Exchange to Halt Brokerage Business  ',
b'Investment Fund Moves to Capitalize on Ethereum Ecosystem  ',
"b""The J8T Token Promises It Won't Spam You on Social Media  """,
b'SBI Ripple Asia Forms Consortium to Bring DLT to Securities  ',
b'BREAKING: JP Morgan Blockchain Spin-Off Raises $ Million  ',
b'Bitfury Enters Bitcoin Crime-Fighting Business with Crystal Launch  ',
b'Gizmodo How Much Should I Regret Not Buying Bitcoin? ',
"b""Google's DoubleClick Ads Used to Distribute Crypto Mining Malware  """,
b'RT @zooko: The Hidden Trade-Offs of ICOs for Entrepreneurs  HT @Jason',
b'RT @Disruptepreneur: Congrats to @bobbyclee and company! ',
b'WEF Trials Blockchain in Bid to Boost Air Travel Security  ',
b'Crypto Hedge Fund Polychain Says No IPO in the Works  ',
"b'Tickets to Consensus 2018 increase in price at midnight EST. If you want to come, register now: '",
b'RT @joonian:  is ripple affecting public markets now ',
b'Ripple Vets Raising Money for Crypto Hedge Fund  ',
b'RT @magdaborowik: Why a $39 million ICO chose Stellar over Ethereum  via @CoinDesk',
b'RT @RAlexJimenez: Can #Bitcoin Be Destroyed? 7 (Unlikely) Paths to Irrelevance  via @CoinDesk #cryptocurrency #BTC',
b'RT @DelRayMan: Multiple Financial Institutions Reveal Unpublished Information about XRP Pilots:  via @coindesk https',
"b'Philippines SEC Plans to Regulate Cryptocurrencies, ICOs  '",
b'UK Crypto Trader Forced to Hand Over Bitcoin at Gunpoint  ',
b'Ethereum Is Quietly Closing In on Record Price Highs  ',
b'Bitcoin Exchange BTCC Just Got Acquired ',
b'Kansas Latest US State to Warn on Crypto Investment Risk  ',
b'In Their Own Words: Real Companies Talk Ripple XRP Pilots  ',
b'Japanese Electronics Retail Giant Launches Bitcoin Payments  ',
b'Bitcoin Price Looking Heavy As News Turns Negative  ',
"b'Coincheck Must Report on Security Failures, Says Finance Watchdog  '",
b'Texas Halts Crypto Banking Operation over Regulatory Violations  ',
"b""A Little Lightning Project Has Two Big Implications for Bitcoin's Tech  """,
b'San Francisco Blockchain Startups Partner on Decentralized Insurance  ',
b'Can Bitcoin Be Destroyed? The 7 (Unlikely) Paths to Irrelevance  ',
b'RT @cburniske: Crypto is a provocative &amp; profound continuation of software eating the world.',
"b'RT @pbartstephens: Your offline identity is controlled by The State (drivers license, passport, SSN) and ur online identity is controlled b'",
b'RT @IBMBlockchain: #Tennessee is ready for #blockchain! ',
"b'Latest Zcash Ceremony Took Chernobyl Nuclear Waste to 3,000 Feet  '",
b'The Periodic Table of Blockchain: How to Classify Tokens  ',
b'RT @onechaintrader: Great article by @KyleSamani The Opportunity for Interoperable Chains of Chains  via @CoinDesk',
"b""BREAKING: Tether Confirms Its Relationship With Auditor Has 'Dissolved' """,
"b'Clarification: statement says Tether\'s relationship with Friedman ""has dissolved."" Statement is vague about who bro '",
"b'Breaking: Tether has ""dissolved"" relationship with auditor Friedman LLP, according to spokesperson for the company '",
b'A Haven for Blockchain: The Case for Wyoming  ',
b'The Opportunity for Interoperable Chains of Chains  ',
"b""Numbers or Not, Coincheck Isn't Another Mt. Gox """,
"b'Starbucks Chairman Is Hot on Blockchain, Cold on Bitcoin  '",
"b""Roubini Doubles Down on Crypto Criticism, Calls Blockchain 'Overhyped'  """,
b'RT @Tanzeel_Akhtar: IMF Calls for International Cooperation on Crypto  via @CoinDesk',
b'Philippines Securities Regulator Orders Halt to ICO  ',
"b""Vitalik: First Part of Ethereum's Sharding Roadmap Is Nearly Done  """,
b'RT @SpirosMargaris: #WallStreet Vets Raise $50 Million for #Crypto Fund of Funds  #fintech #cryptocurrencies #bl',
"b'RT @DelRayMan: This guy watched the financial collapse from a desk at Credit Suisse, and is now raising a $100 million crypto fund to imple'",
"b'2/2 ""We re helping with tagging the stolen XEM and we re relaying the affected addresses to exchanges."" -- NEM team '",
"b'""We will not hard fork to restore funds. The NEM blockchain is a transparent immutable ledger."" -- statement from NEM team 1/2'",
b'Coincheck Confirms Crypto Hack Loss Larger than Mt Gox  ',
b'Bloomberg s @ynakamura56 reporting live from @coincheckjp press conference ',
"b'Back at $1,500: Bitcoin Cash Could See Further Dip  '",
b'Nikkei on @coincheckjp: Not determined when trading might resume at Japan-based exchange ',
"b'Nikkei on @coincheck_en: ""Illegal transfers announced 58 billion yen. Compensation is now under consideration. '",
b'RT @pbartstephens: Congrats to @bitgo @mikebelshe @bendavenport! This could be the first of many Crypto Startups acquiring traditional comp',
"b""RT @businessinsider: Rapper 50 Cent confirms he accidentally made around $8 million in bitcoin: 'Ima keep it real I forgot I did that s--t'""",
b'RT @BKBrianKelly: @CremeDeLaCrypto Some people have called #bitcoin and cryptocurrencies irrelevant and even suggested not talking about th',
b'Bitcoin Price Seeks Direction as Trading Range Narrows  ',
b'EXCLUSIVE: Wall Street Vets Raise $50 Million for Crypto Fund of Funds  ',
"b""Japan's Coincheck Exchange Suspends Cryptocurrency and Yen Withdrawals  """,
b'Brisbane Airport to Launch In-Terminal Cryptocurrency Payments  ',
b'Chinese Finance Association Cautions on Overseas ICOs and Crypto Trading  ',
b'ICE Exploiting Blockchain to Expose Crypto Use in Drug Trafficking  ',
b'PBoC Official Pushes for Centralized State Digital Currency  ',
"b""Coinbase's GDAX Links Up With Trading Software Provider  """,
b'a16z Podcast: Mental Models for Understanding Crypto Tokens ',
b'Bitcoin s Lightning Network Has a Problem: People Are Already Using It  ',
b'RT @joonian: @NeerajKA What s coin centres response to Katy Perry',
"b""RT @jameswester: Do people at Davos think world leaders dissing bitcoin is going to hurt it? I mean, isn't it like dad telling his teenage""",
b'Bloomberg Ripple Wants XRP to Be Bitcoin for Banks. If Only the Banks Wanted It  by @mattleising and @EddieRob235',
b'RT @JackTatar: Audio version of #Cryptoassets is #4 on #Audible #audiobook #nonfiction #bestseller list ',
b'RT @SnoopDogg: Putting tha Crip in Crypto! ',
b'Bitcoin Startup BitGo to Buy Asset Custodian  ',
b'Bitcoin Takes the Stage at Davos in Currency Panel Debate  ',
b'RT @naval: Opened up my crypto-twitter list to the public:  Inclusion is not endorsement.',
"b""Lawmaker Says 'Tennessee Is Ready for Blockchain' at Bill Hearing  """,
